AMC,AMFICode,Scheme Name,Scheme Type,AMFI Scheme Category,Scheme NAV Name,Scheme Category,Sub Category,Fundtype,PlanType,ISIN Div Payout / ISIN Growth,ISIN Div Reinvestment,Launch Date,Closure Date,Scheme Minimum Amount,isPrimary
quant Money Managers Limited,151757,quant Business Cycle Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Business Cycle Fund - Growth Option - Direct Plan,Equity,Sectoral/ Thematic,DE,Direct,INF966L01BR2,,12-May-2023,,5000.0,Y
quant Money Managers Limited,151758,quant Business Cycle Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Business Cycle Fund - Growth Option - Regular Plan,Equity,Sectoral/ Thematic,DE,Regular,INF966L01BU6,,12-May-2023,,5000.0,Y
quant Money Managers Limited,151759,quant Business Cycle Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Business Cycle Fund - IDCW Option - Direct Plan,Equity,Sectoral/ Thematic,DE,Direct,INF966L01BS0,INF966L01BT8,12-May-2023,,5000.0,N
quant Money Managers Limited,151760,quant Business Cycle Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant Business Cycle Fund - IDCW Option - Regular Plan,Equity,Sectoral/ Thematic,DE,Regular,INF966L01BV4,INF966L01BW2,12-May-2023,,5000.0,Y
UTI Asset Mgmt. Co. Ltd.,151761,UTI Nifty50 Equal Weight Index Fund,Open Ended,Other Scheme - Index Funds,UTI Nifty50 Equal Weight Index Fund - Regular Plan - Growth Option,Other,Index Funds,DE,Regular,INF789F1AYQ3,,22-May-2023,,5000.0,Y
UTI Asset Mgmt. Co. Ltd.,151762,UTI Nifty50 Equal Weight Index Fund,Open Ended,Other Scheme - Index Funds,UTI Nifty50 Equal Weight Index Fund - Direct Plan - Growth Option,Other,Index Funds,DE,Direct,INF789F1AYP5,,22-May-2023,,5000.0,Y
UTI Asset Mgmt. Co. Ltd.,151763,UTI S&P BSE Housing Index Fund,Open Ended,Other Scheme - Index Funds,UTI S&P BSE Housing Index Fund - Regular Plan - Growth Option,Other,Index Funds,DE,Regular,INF789F1AYS9,,22-May-2023,,5000.0,Y
UTI Asset Mgmt. Co. Ltd.,151764,UTI S&P BSE Housing Index Fund,Open Ended,Other Scheme - Index Funds,UTI S&P BSE Housing Index Fund - Direct Plan - Growth Option,Other,Index Funds,DE,Direct,INF789F1AYR1,,22-May-2023,,5000.0,Y
SBI Funds Management Limited,151765,SBI S&P BSE Sensex Index Fund,Open Ended,Other Scheme - Index Funds,SBI S&P BSE Sensex Index Fund - Regular Plan - Growth,Other,Index Funds,DE,Regular,INF200KA13Y1,,18-May-2023,24-May-2023,5000.0,Y
SBI Funds Management Limited,151766,SBI S&P BSE Sensex Index Fund,Open Ended,Other Scheme - Index Funds,SBI S&P BSE Sensex Index Fund - Regular Plan - IDCW,Other,Index Funds,DE,Regular,INF200KA14Y9,INF200KA15Y6,18-May-2023,24-May-2023,5000.0,Y
SBI Funds Management Limited,151769,SBI S&P BSE Sensex Index Fund,Open Ended,Other Scheme - Index Funds,SBI S&P BSE Sensex Index Fund - Direct Plan - Growth,Other,Index Funds,DE,Direct,INF200KA16Y4,,18-May-2023,24-May-2023,5000.0,Y
SBI Funds Management Limited,151770,SBI S&P BSE Sensex Index Fund,Open Ended,Other Scheme - Index Funds,SBI S&P BSE Sensex Index Fund - Direct Plan - IDCW,Other,Index Funds,DE,Direct,INF200KA17Y2,INF200KA18Y0,18-May-2023,24-May-2023,5000.0,N
Kotak Mahindra Asset Management Company Limited.,151771,Kotak FMP Series 312,Close Ended,Income,Kotak FMP Series 312 - Direct Plan - Growth,,Income,DE,Direct,INF174KA1NW9,,22-May-2023,,5000.0,Y
Kotak Mahindra Asset Management Company Limited.,151772,Kotak FMP Series 312,Close Ended,Income,Kotak FMP Series 312 - Direct Plan - IDCW Option,,Income,DE,Direct,INF174KA1NX7,,22-May-2023,,5000.0,N
Kotak Mahindra Asset Management Company Limited.,151773,Kotak FMP Series 312,Close Ended,Income,Kotak FMP Series 312 - Regular Plan - Growth,,Income,DE,Regular,INF174KA1NU3,,22-May-2023,,5000.0,Y
Kotak Mahindra Asset Management Company Limited.,151774,Kotak FMP Series 312,Close Ended,Income,Kotak FMP Series 312 - Regular Plan - IDCW Option,,Income,DE,Regular,INF174KA1NV1,,22-May-2023,,5000.0,Y
ITI Asset Management Limited,151775,ITI Focused Equity Fund,Open Ended,Equity Scheme - Focused Fund,ITI Focused Equity Fund - Regular Plan - IDCW,Equity,Focused Fund,DE,Regular,INF00XX01CW0,INF00XX01CR0,29-May-2023,,5000.0,Y
ITI Asset Management Limited,151776,ITI Focused Equity Fund,Open Ended,Equity Scheme - Focused Fund,ITI Focused Equity Fund - Direct Plan - IDCW,Equity,Focused Fund,DE,Direct,INF00XX01CT6,INF00XX01CU4,29-May-2023,,5000.0,N
ITI Asset Management Limited,151777,ITI Focused Equity Fund,Open Ended,Equity Scheme - Focused Fund,ITI Focused Equity Fund - Direct Plan - Growth,Equity,Focused Fund,DE,Direct,INF00XX01CS8,,29-May-2023,,5000.0,Y
ITI Asset Management Limited,151778,ITI Focused Equity Fund,Open Ended,Equity Scheme - Focused Fund,ITI Focused Equity Fund - Regular Plan - Growth,Equity,Focused Fund,DE,Regular,INF00XX01CV2,,29-May-2023,,5000.0,Y
Mirae Asset Investment Managers (India) Pvt. Ltd,151779,Mirae Asset Silver ETF,Open Ended,Other Scheme - Other  ETFs,Mirae Asset Silver ETF,Other,Other  ETFs,DE,Regular,,,29-May-2023,06-Jun-2023,5000.0,N
Kotak Mahindra Asset Management Company Limited.,151782,Kotak Nifty 200 Momentum 30 Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty 200 Momentum 30 Index Fund - Direct Plan - IDCW Payout,Other,Index Funds,DE,Direct,INF174KA1OC9,INF174KA1OD7,25-May-2023,,5000.0,N
Kotak Mahindra Asset Management Company Limited.,151783,Kotak Nifty 200 Momentum 30 Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty 200 Momentum 30 Index Fund - Regular Plan - Growth Option,Other,Index Funds,DE,Regular,INF174KA1NY5,,25-May-2023,,5000.0,Y
