AMC,AMFICode,Scheme Name,Scheme Type,AMFI Scheme Category,Scheme NAV Name,Scheme Category,Sub Category,Fundtype,PlanType,ISIN Div Payout / ISIN Growth,ISIN Div Reinvestment,Launch Date,Closure Date,Scheme Minimum Amount,isPrimary
Invesco Asset Management (India) Private Limited,151596,Invesco India Nifty G-sec Sep 2032 Index Fund,Open Ended,Other Scheme - Index Funds,Invesco India Nifty G-sec Sep 2032 Index Fund - Direct - IDCW Payout,Other,Index Funds,DE,Direct,INF205KA1825,,16-Mar-2023,,1000.0,N
Invesco Asset Management (India) Private Limited,151597,Invesco India Nifty G-sec Sep 2032 Index Fund,Open Ended,Other Scheme - Index Funds,Invesco India Nifty G-sec Sep 2032 Index Fund - Direct - Growth,Other,Index Funds,DE,Direct,INF205KA1817,,16-Mar-2023,,1000.0,Y
Kotak Mahindra Asset Management Company Limited.,151602,Kotak Silver ETF Fund of Fund,Open Ended,Other Scheme - FoF Domestic,Kotak Silver ETF Fund of Fund - Regular Plan - Growth Option,Other,FoF Domestic,FoF,Regular,INF174KA1MR1,,13-Mar-2023,,5000.0,Y
Kotak Mahindra Asset Management Company Limited.,151603,Kotak Silver ETF Fund of Fund,Open Ended,Other Scheme - FoF Domestic,Kotak Silver ETF Fund of Fund - Direct Plan - Growth Option,Other,FoF Domestic,FoF,Direct,INF174KA1MQ3,,13-Mar-2023,,5000.0,Y
Mirae Asset Investment Managers (India) Pvt. Ltd,151604,Mirae Asset Nifty 100 Low Volatility 30 ETF,Open Ended,Other Scheme - Other  ETFs,Mirae Asset Nifty 100 Low Volatility 30 ETF,Other,Other  ETFs,DE,Regular,INF769K01JU9,,13-Mar-2023,,5000.0,N
Kotak Mahindra Asset Management Company Limited.,151605,Kotak Nifty SDL Jul 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty SDL Jul 2028 Index Fund - Regular Plan - IDCW Payout,Other,Index Funds,DE,Regular,INF174KA1MT7,INF174KA1MU5,15-Mar-2023,,5000.0,Y
Kotak Mahindra Asset Management Company Limited.,151606,Kotak Nifty SDL Jul 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty SDL Jul 2028 Index Fund - Direct Plan - IDCW Payout,Other,Index Funds,DE,Direct,INF174KA1MW1,INF174KA1MX9,15-Mar-2023,,5000.0,N
Kotak Mahindra Asset Management Company Limited.,151607,Kotak Nifty SDL Jul 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty SDL Jul 2028 Index Fund - Regular Plan - Growth,Other,Index Funds,DE,Regular,INF174KA1MS9,,15-Mar-2023,,5000.0,Y
Kotak Mahindra Asset Management Company Limited.,151608,Kotak Nifty SDL Jul 2028 Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty SDL Jul 2028 Index Fund - Direct Plan - Growth,Other,Index Funds,DE,Direct,INF174KA1MV3,,15-Mar-2023,,5000.0,Y
NJ Asset Management Private Limited,151609,NJ ELSS Tax Saver Scheme,Open Ended,Equity Scheme - ELSS,NJ ELSS Tax Saver Scheme Regular Growth,Equity,ELSS,DE,Regular,INF0J8L01099,,13-Mar-2023,,500.0,Y
NJ Asset Management Private Limited,151610,NJ ELSS Tax Saver Scheme,Open Ended,Equity Scheme - ELSS,NJ ELSS Tax Saver Scheme Regular IDCW,Equity,ELSS,DE,Regular,INF0J8L01107,,13-Mar-2023,,500.0,Y
